x,y,p
37.654656,-122.4077498,66174
33.5676842,-117.7256083,50175
44.0805434,-103.2310149,70812
45.1732394,-93.3030063,62103
42.4250964,-71.066163,60509
40.0455917,-86.0085955,56540
26.4614625,-80.0728201,64072
26.6617635,-80.2683571,60202
38.789217,-90.322614,52363
41.0997803,-80.6495194,65184
33.6189101,-117.9289469,87273
40.4842027,-88.9936873,78902
33.6971468,-117.185294,83447
37.4137536,-79.1422464,78014
40.3977612,-105.0749801,71334
39.7674578,-94.846681,77147
38.6779591,-121.1760583,73098
39.8403147,-88.9548001,74710
38.2975381,-122.286865,79068
33.1031744,-96.6705503,92020
32.9810059,-80.0325867,39823
42.1211364,-88.2578582,38241
33.9652918,-118.1514588,42889
42.0028761,-71.5147839,41026
44.9530215,-92.9952153,39765
38.9784453,-76.4921829,38722
34.6992579,-86.7483318,45799
40.521893,-111.9391023,40921
37.7749295,-122.4194155,837442
41.8239891,-71.4128343,177994
37.5629917,-122.3255254,101128
27.8005828,-97.396381,316381
46.6020711,-120.5058987,93257
25.9860762,-80.3035602,130288
28.5383355,-81.3792365,255483
32.2217429,-110.926479,526116
39.7589478,-84.1916069,143355
35.9131996,-79.0558445,59635
33.8491816,-118.3884078,67815
30.3674198,-89.0928155,71012
42.8142432,-73.9395687,65902
45.0105194,-93.4555093,73987
37.7396513,-121.4252227,84691
35.9250637,-86.8688899,68886
42.3265152,-122.8755949,77677
39.0067768,-76.7791365,56759
42.866632,-106.313081,59628
34.6100243,-112.315721,39791
39.8083196,-104.9338675,49799
35.1359386,-114.5285981,39383
39.8386516,-86.0252612,47135
36.3955891,-97.8783911,50725
32.844017,-97.1430671,48592
33.7700504,-118.1937395,469428
35.8456213,-86.39027,117044
37.3382082,-121.8863286,998537
34.0922335,-117.435048,203003
41.6763545,-86.2519898,100886
39.7294319,-104.8319195,345803
35.6528323,-97.4780954,87004
30.6953657,-88.0398912,194899
31.9973456,-102.0779146,123933
42.1014831,-72.589811,153703
40.5852602,-105.084423,152061
34.7464809,-92.2895948,197357
39.7392358,-104.990251,649495
25.8575963,-80.2781057,233394
40.7127837,-74.0059413,8405837
41.6005448,-93.6091064,207510
31.7775757,-106.4424559,674433
29.7604267,-95.3698028,2195914
34.2257255,-77.9447102,112067
41.6362152,-70.934205,95078
32.3199396,-106.7636538,101324
34.2694474,-118.781482,126181
33.4936391,-117.1483648,106780
42.2808256,-83.7430378,117025
30.5082551,-97.678896,109821
39.0558235,-95.6890185,127679
30.080174,-94.1265562,117796
33.1506744,-96.8236116,136791
42.7762015,-71.0772796,62088
37.7249296,-122.1560768,87965
33.9898188,-117.7325848,76572
39.1404477,-121.6169108,65416
37.7799273,-121.9780153,74513
41.394817,-73.4540111,83684
39.7284944,-121.8374777,88077
26.1003654,-80.3997748,68388
42.6064095,-83.1497751,82821
33.7444613,-118.3870173,42448
42.7369792,-84.4838654,48554
32.6789476,-115.4988834,39389
44.7677424,-93.2777226,61434
34.0805651,-118.072846,54561
41.3164856,-73.0931641,40999
44.7973962,-93.5272861,39167
47.6739881,-122.121512,57530
32.9628232,-117.0358646,49417
42.5348993,-92.4453161,40566
41.6155909,-87.5294871,37240
44.9901194,-123.0262077,37064
48.0517637,-122.1770818,63269
34.9889818,-90.0125913,50997
37.931868,-121.6957863,55000
34.0555693,-117.1825381,69999
40.9114882,-73.7823549,79446
33.7825194,-117.2286478,72326
38.5449065,-121.7405167,66205
34.0122346,-117.688944,80988
46.7866719,-92.1004852,86128
34.0686208,-117.9389526,107740
35.4675602,-97.5164276,610613
37.9577016,-121.2907796,298118
33.7455731,-117.8678338,334227
30.3321838,-81.655651,842583
39.7817213,-89.6501481,117006
34.0633443,-117.6508876,167500
38.1040864,-122.2566367,118837
41.49932,-81.6943605,390113
39.3642834,-74.4229266,39551
35.0867577,-89.8100858,39375
27.8428025,-82.6995443,49998
37.2871651,-121.9499568,40584
33.9172357,-118.0120086,49133
41.9994722,-88.1450735,38510
26.339806,-81.7786972,47547
32.3909071,-110.966488,41627
45.6769979,-111.0429339,39860
35.9828412,-86.5186045,43060
34.9495672,-81.9320482,37647
31.3271189,-89.2903392,47556
39.1434406,-77.2013705,65690
45.0724642,-93.4557877,65415
41.0339862,-73.7629097,57866
42.0333607,-88.0834059,74907
47.6814875,-122.2087353,84430
41.408969,-75.6624122,75806
42.4894801,-83.1446485,58946
43.4916514,-112.0339645,58292
46.8787176,-113.996586,69122
32.9029017,-96.56388,58043
33.7091847,-117.9536697,56707
25.9331488,-80.1625463,43250
39.843947,-84.1246608,38142
42.7653662,-71.467566,87137
47.610377,-122.2006786,133992
36.8252277,-119.7029194,99769
33.2000368,-117.2425355,96929
39.114053,-94.6274636,148483
40.9312099,-73.8987469,199766
35.2225668,-97.4394777,118197
29.5635666,-95.2860474,100065
42.5144566,-83.0146526,134873
32.8406946,-83.6324022,89981
33.9424658,-117.2296717,201175
42.3736158,-71.1097335,107289
40.4862157,-74.4518188,55831
38.7521235,-121.2880059,127035
40.5067723,-74.2654234,51982
44.9211836,-93.4687489,51368
34.1397292,-118.0353449,57639
33.3942655,-104.5230242,48611
39.6895036,-84.1688274,55870
40.5246711,-111.8638226,45285
42.2625932,-71.8022934,182544
34.0007104,-81.0348144,133358
32.3668052,-86.2999689,201332
36.8507689,-76.2858726,246139
39.1031182,-84.5120196,297517
33.3528264,-111.789027,229972
44.0520691,-123.0867536,159190
33.4151843,-111.8314724,457587
41.0814447,-81.5190053,198100
38.0293059,-78.4766781,44349
42.5278731,-70.9286609,52044
35.042036,-89.6645266,47333
40.9263957,-98.3420118,50550
39.3722121,-104.8560902,53063
40.5186809,-78.3947359,45796
40.7062128,-73.6187397,55361
34.0739016,-117.3136547,53243
25.72149,-80.2683838,49631
41.7369803,-111.8338359,48913
42.5834228,-71.8022955,40383
38.5767017,-92.1735164,43330
37.3058839,-89.5181476,38816
42.2505943,-83.1785361,37313
42.4792618,-71.1522765,39083
39.6417629,-77.7199932,40612
28.6122187,-80.8075537,44206
40.6084305,-75.4901833,118577
41.5581525,-73.0514965,109676
33.9791793,-118.032844,86635
39.9259463,-75.1196199,76903
42.1292241,-80.085059,100671
37.2709704,-79.9414266,98465
37.0965278,-113.5684164,76817
26.3017374,-98.1633432,80836
44.0581728,-121.3153096,81236
43.5407172,-116.5634624,86518
33.5225261,-117.7075526,64652
34.5008311,-117.1858759,70924
34.0165053,-118.1137535,63495
39.4142688,-77.4105409,66893
30.8327022,-83.2784851,56481
28.8028612,-81.269453,56002
31.2232313,-85.3904888,68001
32.6098566,-85.4807825,58582
32.216316,-80.752608,39412
34.483901,-114.3224548,52844
33.7222445,-116.3744556,50508
42.3764852,-71.2356113,62227
47.6776832,-116.7804664,46402
38.7874699,-90.6298922,54842
32.8383828,-116.9739167,56105
25.4687224,-80.4775569,64079
44.8041322,-93.1668858,65453
42.034722,-93.62,61792
29.5293998,-95.2010447,37587
42.1391927,-87.9289591,38015
44.9591352,-89.6301221,39309
32.8323225,-79.8284258,74885
47.6732281,-117.2393748,91113
34.769536,-92.2670941,66075
37.6624312,-121.8746789,74110
40.6975898,-74.2631635,68247
37.3021632,-120.4829677,81102
26.640628,-81.8723084,68190
42.36837,-83.3527097,95208
32.5007037,-94.7404891,81443
35.7795897,-78.6381787,431746
34.0686206,-118.0275667,115708
43.0389025,-87.9064736,599164
33.6839473,-117.7946942,236716
33.3061605,-111.8412502,249146
33.6292337,-112.3679279,123546
32.4609764,-84.9877094,202824
39.5296329,-119.8138027,233294
41.6639383,-83.555212,282313
38.9071923,-77.0368707,646449
34.1063989,-117.5931084,171386
47.9789848,-122.2020794,105370
34.1425078,-118.255075,196021
33.7877944,-117.8531119,139969
38.9517053,-92.3340724,115276
42.8864468,-78.8783689,258959
32.7554883,-97.3307658,792727
32.4487364,-99.7331439,120099
35.612661,-77.3663538,89130
33.8886259,-117.8131125,67032
42.3370413,-71.2092214,87971
40.767323,-74.2048677,64544
41.117744,-73.4081575,87776
47.3073228,-122.2284532,74860
33.8316745,-118.281693,92599
42.7261309,-87.7828523,78199
26.2128609,-80.2497707,63155
39.978371,-86.1180435,85927
34.8526176,-82.3940104,61397
41.5731442,-87.7932939,57282
41.5381535,-72.8070435,60456
33.8883487,-118.3089624,59957
25.8900949,-80.1867138,61007
41.1543623,-95.9145568,53663
42.8694731,-85.6447492,50233
41.8661403,-88.1070127,53648
42.2011538,-85.5800022,47523
39.5150576,-84.3982763,48630
42.1250929,-72.749538,41301
33.9204354,-80.3414693,41190
43.0605671,-88.1064787,37999
42.0255827,-88.1784085,40351
42.9764027,-88.1084224,39834
38.7509488,-77.4752667,41705
32.9312336,-96.4597089,40922
32.8546197,-79.9748103,104054
33.6411316,-117.9186689,112174
38.3565773,-121.9877444,94275
26.007765,-80.2962555,162329
37.9715592,-87.5710898,120310
38.2526647,-85.7584557,609893
39.8027644,-105.0874842,111707
42.0354084,-88.2825668,110145
33.0198431,-96.6988856,274409
35.410694,-80.8428504,50458
42.4974085,-82.8963604,60070
37.9100783,-122.0651819,66900
34.0194543,-118.4911912,92472
34.095287,-118.1270146,84577
42.4733688,-83.2218731,73006
41.6619927,-86.1586156,47989
33.7458511,-117.826166,78327
36.7282054,-76.5835621,85728
42.8713032,-112.4455344,54350
37.6138253,-122.4869194,38606
42.5584283,-70.880049,40664
31.5455001,-110.2772856,45129
41.5242649,-72.0759105,40347
30.3960318,-88.8853078,44820
40.1105875,-88.2072697,41752
33.7739053,-117.9414477,175140
34.9530337,-120.4357191,102216
37.0870821,-76.4730122,182020
36.7682088,-76.2874927,230571
32.7459645,-96.9977846,183372
33.5386523,-112.1859866,234632
40.735657,-74.1723667,278427
32.9483335,-96.7298519,104475
27.950575,-82.4571776,352957
32.8342952,-97.2289029,67317
42.6583661,-83.1499322,72952
36.1867442,-94.1288141,75229
40.1672068,-105.1019275,89919
36.8354258,-76.2982742,96205
33.930293,-118.2114603,71371
47.4828776,-122.2170661,97003
34.09751,-117.6483876,75413
41.5833688,-87.5000412,78967
42.1662831,-87.9631308,41778
42.2411344,-88.3161965,40388
31.3112936,-92.4451371,48426
37.8215929,-121.9999606,43341
36.0331164,-86.7827772,40021
36.5859718,-79.3950228,42907
43.7508284,-87.71453,48725
47.0342629,-122.8231915,44919
41.9294736,-88.7503647,43849
43.6155825,-84.2472116,42181
36.910231,-121.7568946,52477
32.5159852,-93.7321228,66333
38.6785157,-121.7732971,56590
26.2517482,-80.1789351,56792
42.4084302,-71.0119948,53756
32.7678287,-117.0230839,58642
29.8832749,-97.9413941,54076
45.1607987,-93.2349489,60407
30.505198,-97.8202888,61238
32.8370727,-97.0819541,53224
33.6633573,-116.3100095,39331
47.5673202,-122.6329356,39056
39.8961821,-104.9811468,37499
33.8025155,-117.9931165,38623
40.742551,-84.1052256,38355
33.0185039,-80.1756481,46074
41.2459149,-75.8813075,41108
40.2731911,-76.8867008,49188
38.3498195,-81.6326234,50821
35.732652,-78.8502856,42214
27.4989278,-82.5748194,51763
42.5083482,-89.0317765,36888
32.9545687,-97.0150078,40342
41.4819932,-81.7981908,51143
40.0992294,-83.1140771,43607
38.5815719,-121.4943996,479686
39.8366528,-105.0372046,110945
33.1580933,-117.3505939,110972
33.9304352,-84.3733147,99770
39.5807452,-104.8771726,106114
34.1975048,-119.1770516,203007
37.5407246,-77.4360481,214114
45.5228939,-122.989827,97368
41.5236437,-90.5776367,102157
31.8456816,-102.3676431,110720
42.0883603,-87.9806265,75994
40.3356483,-75.9268747,87893
37.4946568,-120.8465941,70365
35.3859242,-94.3985475,87650
40.1164204,-88.2433829,83424
35.8422967,-90.704279,71551
44.2619309,-88.4153847,73596
40.8584328,-74.1637553,85390
33.7475203,-116.9719684,81750
42.4999942,-96.4003069,82459
36.06523,-119.0167679,55174
34.2163937,-119.0376023,66086
33.0369867,-117.2919818,61588
35.7688425,-119.2470536,52403
45.5579451,-94.1632404,66297
40.1053196,-85.6802541,55670
26.1906306,-97.6961026,65665
39.0228485,-94.7151865,64323
35.3395079,-97.4867028,58414
40.486427,-86.1336033,56895
41.8137116,-71.3700545,47149
33.7839084,-116.958635,45851
36.1156071,-97.0583681,47186
26.1723065,-80.1319893,43286
39.613321,-105.0166498,44275
34.6391501,-120.4579409,43509
38.0608445,-97.9297743,41889
29.383845,-94.9027002,46081
41.6266555,-93.7121656,41776
41.6661573,-81.339552,46979
33.9294606,-116.977248,40481
34.5400242,-112.4685025,40590
43.2341813,-86.2483921,37213
28.2489016,-81.2811801,40918
40.114955,-111.654923,36956
32.5920798,-96.7561082,38071
32.436381,-111.2224422,38290
35.9556923,-80.0053176,107741
42.0834335,-71.0183787,94089
37.6818745,-121.7680088,85156
38.2493581,-122.0399663,109320
34.1064001,-117.3703235,101910
26.1275862,-80.2331036,90268
46.8771863,-96.7898034,113658
33.4355977,-112.3496021,78822
33.4353394,-112.3576567,72864
26.3683064,-80.1289321,89407
33.9816812,-118.2250725,58879
44.8546856,-93.470786,62603
39.0169509,-94.2816148,53294
43.0166806,-88.0070315,60697
40.9125992,-73.8370786,68224
41.5931049,-81.5267873,48139
40.7989473,-81.378447,72535
33.8651033,-84.3365917,50603
40.6639916,-74.2107006,127558
39.8680412,-104.9719243,127359
39.768403,-86.158068,843393
40.9167654,-74.171811,145948
61.2180556,-149.9002778,300950
33.5805955,-112.2373779,162592
40.6936488,-89.5889864,116513
33.2148412,-97.1330683,123099
44.9428975,-123.0350963,160614
34.274646,-119.2290316,108817
38.8338816,-104.8213634,439886
32.7764749,-79.9310512,127999
34.6867846,-118.1541632,159523
30.4382559,-84.2807329,186411
30.2240897,-92.0198427,124276
43.6187102,-116.2146068,214237
33.4255104,-111.9400054,168228
41.2523634,-95.9979883,434353
41.6612104,-72.7795419,72939
26.5317866,-80.0905465,71097
30.627977,-96.3344068,100050
39.7390721,-75.5397878,71525
40.5865396,-122.3916754,91119
40.4233142,-104.7091322,96539
40.8567662,-74.1284764,70868
42.9133602,-85.7053085,74100
29.6196787,-95.6349463,83860
30.6743643,-96.3699632,78709
30.4393696,-97.6200043,53752
41.5772115,-93.711332,61255
37.7021521,-121.9357918,52105
40.7439905,-74.0323626,52575
28.2919557,-81.407571,65173
30.421309,-87.2169149,52703
41.6819935,-85.9766671,51265
30.3118769,-95.4560512,63032
41.452819,-82.1823746,63710
33.4150485,-111.5495777,37130
37.2295733,-80.4139393,43609
42.4972583,-82.9371409,47555
43.4194699,-83.9508068,50303
33.425125,-94.0476882,37442
32.8234621,-97.1705678,38448
38.0405837,-84.5037164,308428
30.4582829,-91.1403196,229426
33.1192068,-117.086421,148738
37.6390972,-120.9968782,204933
37.5482697,-121.9885719,224922
39.7047095,-105.0813734,147214
26.5628537,-81.9495331,165831
29.4241219,-98.4936282,1409019
36.0395247,-114.9817213,270811
33.640855,-117.603104,49228
35.4873613,-80.6217341,44359
42.0664167,-87.9372908,54771
37.3229978,-122.0321823,60189
42.3211522,-85.1797142,51848
48.2329668,-101.2922906,46321
34.0900091,-117.8903397,48508
40.6677248,-111.9388258,60519
39.1836082,-96.5716694,56143
29.3013479,-94.7976958,48733
41.7014912,-71.1550451,88697
41.6717648,-72.9492703,60568
40.6687141,-74.1143091,65028
42.3222599,-83.1763145,95884
39.3995008,-84.5613355,62258
26.0764783,-80.2521157,96830
26.2034071,-98.2300124,136639
43.661471,-70.2553259,66318
43.100903,-75.232664,61808
32.3512601,-95.3010624,100223
28.5652787,-81.5861847,37711
35.2270869,-80.8431267,792862
39.0911161,-94.4155068,117240
41.0534302,-73.5387341,126456
41.7637111,-72.6850932,125017
42.9633599,-85.6680863,192294
34.7303688,-86.5861037,186254
25.9017472,-97.4974838,181860
